quantity 1,Mfg Part Number,Mfg Name,Mouser Part Number,Ref-ID,
1,21RZ310-RC,Xicon,21RZ310-RC,C3,
3,1N5819,Fairchild Semiconductor,512-1N5819,D1/D2/D3,
5,299-1K-RC,Xicon,299-1K-RC,R1/R3/R4/R5/R6,
1,299-10K-RC,Xicon,299-10K-RC,R2,
1,EEU-FR1H220,Panasonic,667-EEU-FR1H220,C1,
1,EEU-FR1C221,Panasonic,667-EEU-FR1C221,C2,
1,RLB0608-681KL,Bourns,652-RLB0608-681KL,L1,
1,22-27-2031,Molex,538-22-27-2031,J5,
1,LM2574N-5G,On Semiconductor,863-LM2574N-5G,IC1,
1,LTV-816,Lite-On,859-LTV-816,IC2,
1,26-60-5080,Molex,538-26-60-5080,J1,
3,NTD4906N-35G,On Semiconductor,863-NTD4906N-35G,Q1/Q2/Q3,
1,PIC12F508-I/P,Microchip,579-PIC12F508-I/P,IC3,
1,26-60-5020,Molex,538-26-60-5020,J2,
1,SSL-LX3044GD,Lumex,696-SSL-LX3044GD,LED1,
3,SSL-LX3044HD,Lumex,696-SSL-LX3044HD,LED2/LED3/LED4,
