quantity 1,Mfg Part Number,Mfg Name,Mouser Part Number,Ref-ID,
1,21RZ310-RC,Xicon,21RZ310-RC,REF6,
3,1N5819,Fairchild Semiconductor,512-1N5819,REF17,
5,299-1K-RC,Xicon,299-1K-RC,REF9,
1,299-10K-RC,Xicon,299-10K-RC,REF8,
1,EEU-FR1H220,Panasonic,667-EEU-FR1H220,REF13,
1,EEU-FR1C221,Panasonic,667-EEU-FR1C221,REF7,
1,RLB0608-681KL,Bourns,652-RLB0608-681KL,REF16,
1,22-27-2031,Molex,538-22-27-2031,REF22,
1,LM2574N-5G,On Semiconductor,863-LM2574N-5G,REF10,
1,LTV-816,Lite-On,859-LTV-816,REF12,
1,26-60-5080,Molex,538-26-60-5080,REF19,
3,NTD4906N-35G,On Semiconductor,863-NTD4906N-35G,REF4,
1,PIC12F508-I/P,Microchip,579-PIC12F508-I/P,REF11,
1,26-60-5020,Molex,538-26-60-5020,REF18,
1,SSL-LX3044GD,Lumex,696-SSL-LX3044GD,REF15,
3,SSL-LX3044HD,Lumex,696-SSL-LX3044HD,REF14,
